Perimeter,BU_Id, BU_Name
Actemium Automation,AA Perimeter Office,
Actemium Automation,Actemium Automation Hampshire,
Actemium Automation,Actemium Automation Nottingham,
Actemium Automation,Actemium Automation Teesside,
Actemium Automation,Actemium Automation UK 24-7 Support,
Actemium Automation,Actemium Automation Yorkshire,
Actemium Automation,Eltek Systems,
Actemium Automation,Kigtek Solutions,
Actemium M&E,Actemium Birmingham,
Actemium M&E,Actemium Coventry,
Actemium M&E,Actemium Daventry,
Actemium M&E,Actemium Design,
Actemium M&E,Actemium ICP Nottingham,
Actemium M&E,Actemium ICS Gloucester,
Actemium M&E,Actemium Rail Coventry,
Actemium M&E,Actemium UK Support Office,
Actemium M&E,HAC,
Actemium M&E,SGS Honiton,
Actemium M&E,Twyver Switchgear,
Axians,Axians Basingstoke,
Axians,Axians Coventry,
Axians,Axians Perimeter,
Axians,Axians Wokingham,
"Omexom Des, Eng & Power",Kelvin Power Consultancy,
"Omexom Des, Eng & Power",Kelvin Power Consultancy Internal,
"Omexom Des, Eng & Power",Kelvin Power Structures,
"Omexom Des, Eng & Power",Omexom Design,
"Omexom Des, Eng & Power",Omexom Design and Engineering Region,
"Omexom Des, Eng & Power",Omexom Engineering,
"Omexom Des, Eng & Power",Omexom Ireland,
"Omexom Des, Eng & Power",Omexom Power Region,
"Omexom Des, Eng & Power",Omexom UK Head Office,
"Omexom Des, Eng & Power",Omexom UK Institute,
"Omexom Des, Eng & Power",Omexom UK Renewables England,
"Omexom Des, Eng & Power",Omexom UK Renewables NI,
"Omexom Des, Eng & Power",Omexom UK Renewables Scotland,
Omexom North,ASTI - Fort Augustus,
Omexom North,Asti Emmock,
Omexom North,NorPower,
Omexom North,Omexom Major Projects Scotland,
Omexom North,Omexom Scotland Region,
Omexom North,Omexom UK Substations,
Omexom North,Omexom UK Transmission Scotland,
Omexom South,Omexom England Region,
Omexom South,Omexom Major Projects - GGP,
Omexom South,Omexom Major Projects - Harker,
Omexom South,Omexom Major Projects - Hylton Castle,
Omexom South,Omexom Power Solutions,
Omexom South,Omexom UK Power Major Projects,
Omexom South,Omexom UK Transmission England,
Omexom South,Omexom UK Plant and Equipment,
VE UK&RoI,VE UK Holding,